,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,Crew,genre
4933,4933,tt0112904,Driftwood,Ronan O'Leary,Driftwood,1997-01-01,100,5,584,"Ronan O'Leary, James Spader","Drama,Thriller,NONE"
4934,4934,tt0112907,Drunks,Peter Cohn,Drunks,1995-01-01,90,6,1135,Richard Lewis,"Drama,NONE,NONE"
4935,4935,tt0112909,The Saint of Gamblers,Jing Wong,Dou sing 2: Gai tau dou sing,1995-01-01,98,5,223,Eric Kot,"Action,Comedy,NONE"
4936,4936,tt0112913,Fallen Angels,Kar-Wai Wong,Do lok tin si,1995-01-01,99,7,43421,"Takeshi Kaneshiro, Norman Law Man, Shirley Kwan, Leon Lai","Comedy,Crime,Drama"
4937,4937,tt0112914,Marble Ass,Zelimir Zilnik,Dupe od mramora,1995-01-01,86,6,256,Lidija Stevanovic,"Comedy,Drama,War"
4938,4938,tt0112922,The Day of the Beast,Álex de la Iglesia,El dÇða de la bestia,1995-01-01,103,7,22516,"José Luis Arrizabalaga, Ramón Agirre, Álex Angulo, Álex Angulo","Action,Comedy,Crime"
4939,4939,tt0112923,Village of Dreams,Yôichi Higashi,Eno nakano bokuno mura,1996-01-01,112,6,411,"Yôichi Higashi, Mieko Harada","Drama,Family,Fantasy"
4940,4940,tt0112924,East Meets West,Kihachi Okamoto,East Meets West,1995-01-01,124,5,148,"Richard Nason, Hiroyuki Sanada","Western,NONE,NONE"
4941,4941,tt0112933,The Butterfly Effect,Fernando Colomo,El efecto mariposa,1995-01-01,110,5,421,"Juan Carmona, Coque Malla","Comedy,Romance,NONE"
4942,4942,tt0112934,Eggs,Bent Hamer,Eggs,1995-01-01,86,6,933,"Kjell Stormoen, Bent Hamer, Sverre Hansen","Comedy,Drama,NONE"
4943,4943,tt0112941,Eldorado,Charles Binamé,Eldorado,1995-01-01,104,7,327,"Robert Brouillette, Isabel Richer, Pascale Bussières","Drama,NONE,NONE"
4944,4944,tt0112945,Ç?lisa,Jean Becker,Ç?lisa,1995-01-01,115,6,2098,"Jacques Dautriche, Werner Schreyer, Vanessa Paradis","Drama,NONE,NONE"
4945,4945,tt0112950,Empire Records,Allan Moyle,Empire Records,1995-01-01,90,6,58223,"Robin Tunney, Melissa Caulfield, Debi Mazar, Anthony LaPaglia","Comedy,Drama,Music"
4946,4946,tt0112951,To Have (or Not),Laetitia Masson,En avoir (ou pas),1995-01-01,89,6,285,"Coralie Trinh Thi, Laetitia Masson, Daniel Kiberlain, Sandrine Kiberlain","Drama,Romance,NONE"
4947,4947,tt0112961,Water Child,Robert Ménard,L'enfant d'eau,1995-01-01,103,7,193,"Marie-France Monette, David La Haye","Drama,NONE,NONE"
4948,4948,tt0112964,"England, My England",Tony Palmer,"England, My England",1995-01-01,153,7,186,"Michael Chance, Letitia Dean, Simon Callow","Biography,Drama,History"
4949,4949,tt0112966,The Englishman Who Went Up a Hill But Came Down a Mountain,Christopher Monger,The Englishman Who Went Up a Hill But Came Down a Mountain,1995-01-01,99,6,18128,"Robert Blythe, Howell Evans, David Lloyd Meredith, Hugh Grant","Comedy,Drama,Romance"
4950,4950,tt0112974,Alien Visitor,Rolf de Heer,Alien Visitor,1997-01-01,92,5,651,"Chloe Ferguson, Phoebe Ferguson","Drama,Sci-Fi,NONE"
4951,4951,tt0112980,Un eroe borghese,Michele Placido,Un eroe borghese,1995-01-01,93,7,285,"Fabrizio Bentivoglio, Riccardo Peroni, Fabrizio Bentivoglio","Crime,Drama,Thriller"
4952,4952,tt0112993,Evolver,Mark Rosman,Evolver,1995-01-01,91,5,1281,"Ken Aichele, Tahitia Hicks, Ethan Embry","Action,Horror,Sci-Fi"
4953,4953,tt0113007,Looking for Paradise,Mario Monicelli,Facciamo paradiso,1995-01-01,108,5,134,"Moni Ovadia, Corrado Meotti, Margherita Buy","Comedy,NONE,NONE"
4954,4954,tt0113014,Fall Time,Paul Warner,Fall Time,1995-01-01,88,5,1964,NONE,"Crime,Drama,NONE"
4955,4955,tt0113026,The Fantasticks,Michael Ritchie,The Fantasticks,2000-01-01,86,5,1398,"Tiffany Heft, Lore Noto, Joel Grey","Musical,Romance,NONE"
4956,4956,tt0113027,Fany,Karel Kachyna,Fany,1995-01-01,99,7,215,"Hana Stredová, Olga Schmidtová, Jirina Bohdalová, Jirina Bohdalová","Drama,NONE,NONE"
4957,4957,tt0113028,Far from Home: The Adventures of Yellow Dog,Phillip Borsos,Far from Home: The Adventures of Yellow Dog,1995-01-01,81,6,3133,Jesse Bradford,"Adventure,Family,NONE"
4958,4958,tt0113029,Dangerous Waters,Lars Berg,Farlig farvann,1995-01-01,85,5,179,"Petronella Barker, Sverre Bentzen, Petronella Barker","Action,Comedy,Thriller"
4959,4959,tt0113030,Body Switch,Jørn Faurschou,Farligt venskab,1995-01-01,88,5,333,"Grethe Holmer, Leif Jensen, Kenneth Carmohn, Ulf Pilgaard","Drama,Romance,Sci-Fi"
4960,4960,tt0113033,Fast Money,Alex Wright,Fast Money,1996-01-01,95,5,653,"John Garvin Smith, Yancy Butler","Action,Crime,Romance"
4961,4961,tt0113041,Father of the Bride Part II,Charles Shyer,Father of the Bride Part II,1995-01-01,106,6,39683,"Roxanne Beckford, Katie Pierce, Joshua Duvall Preston, Steve Martin","Comedy,Family,Romance"
4962,4962,tt0113044,Feast of July,Christopher Menaul,Feast of July,1995-01-01,116,6,577,"Jane Cussons, Embeth Davidtz","Crime,Drama,Mystery"
